adcode,,a1,a2,a3,a4,a5
110000,Beijing,59,59,60,61,62
120000,Tianjin,51,52,54,57,58
130000,Hebei,127,134,147,160,170
140000,Shanxi,76,77,80,84,89
150000,Inner Mongolia,45,46,47,49,51
210000,Liaoning,98,96,104,114,118
220000,Jilin,64,66,70,73,76
230000,Heilongjiang,73,73,78,83,88
310000,Shanghai,51,52,53,54,55
320000,Jiangsu,177,181,187,201,211
330000,Zhejiang,100,102,107,115,121
340000,Anhui,115,114,124,137,151
350000,Fujian,75,77,86,95,102
360000,Jiangxi,105,105,114,124,135
370000,Shandong,202,204,218,229,243
410000,Henan,200,214,232,249,269
420000,Hubei,140,144,150,162,170
430000,Hunan,127,133,141,151,160
440000,Guangdong,193,196,205,240,254
450000,Guangxi,87,94,108,118,132
460000,Hainan,19,19,21,23,25
500000,Chongqing,75,76,83,92,100
510000,Sichuan,150,156,166,180,192
520000,Guizhou,63,69,77,84,88
530000,Yunnan,71,76,86,96,104
540000,Tibet,4,4,4,4,4
610000,Shaanxi,107,105,112,121,128
620000,Gansu,47,48,52,58,61
630000,Qinghai,7,7,7,7,8
640000,Ningxia,12,13,14,15,16
650000,Xinjiang,35,37,43,49,56
